,Ticker,Fiscal Date,Revenue (USD),Fiscal Year,Total Revenue,Market Share
251,LOW,2014-01-31,53417000000,2014,1221769594000,0.0437210094786497
252,LOW,2013-01-31,50521000000,2013,1171525917068,0.043124099316931765
253,LOW,2012-01-31,50208000000,2012,1120003482000,0.04482843206017818
254,LOW,2011-01-31,48815000000,2011,1046792430000,0.04663293180291722
255,LOW,2010-01-31,47220000000,2010,980998252000,0.0481346423438887
256,LOW,2009-01-31,48230000000,2009,951927858000,0.05066560411555893
257,LOW,2008-01-31,48283000000,2008,907379923893,0.05321144840063006
258,LOW,2007-01-31,46927000000,2007,853341811000,0.054992031792052906
259,LOW,2006-01-31,43243000000,2006,767562923000,0.05633805217034956
260,ORLY,2024-12-31,16708479000,2024,2479997933000,0.006737295534673335
261,ORLY,2023-12-31,15812250000,2023,2367952111000,0.006677605483044332
262,ORLY,2022-12-31,14409860000,2022,2233563149000,0.006451512242423731
263,ORLY,2021-12-31,13327563000,2021,2050036470000,0.0065011345871324915
264,ORLY,2020-12-31,11604493000,2020,1820831850000,0.006373182125521366
265,ORLY,2019-12-31,10149985000,2019,1667848375000,0.006085676103500716
266,ORLY,2018-12-31,9536428000,2018,1584911418000,0.00601701009387264
267,ORLY,2017-12-31,8977726000,2017,1456241666000,0.006164997341862899
268,ORLY,2016-12-31,8593096000,2016,1372156286000,0.006262476138960748
269,ORLY,2015-12-31,7966674000,2015,1304704129000,0.006106115419521294
270,ORLY,2014-12-31,7216081000,2014,1221769594000,0.005906253548490257
271,ORLY,2013-12-31,6649237000,2013,1171525917068,0.005675706276000424
272,ORLY,2012-12-31,6182184000,2012,1120003482000,0.005519789982224359
273,ORLY,2011-12-31,5788816000,2011,1046792430000,0.005530051454422535
274,ORLY,2010-12-31,5397525000,2010,980998252000,0.005502074024082971
275,ORLY,2009-12-31,4847062000,2009,951927858000,0.005091837537125634
276,ORLY,2008-12-31,3576553000,2008,907379923893,0.003941626771568019
277,ORLY,2007-12-31,2522319000,2007,853341811000,0.0029558132128134993
278,ORLY,2006-12-31,2283222000,2006,767562923000,0.002974638210866264
279,ORLY,2005-12-31,2045318000,2005,122693850000,0.016670093896311838
280,O,2024-12-31,5271142000,2024,2479997933000,0.0021254622553751944
281,O,2023-12-31,4078993000,2023,2367952111000,0.0017225825560625114
282,O,2022-12-31,3343681000,2022,2233563149000,0.001497016550213508
283,O,2021-12-31,2080463000,2021,2050036470000,0.0010148419457142632
284,O,2020-12-31,1647087000,2020,1820831850000,0.0009045794096802514
285,O,2019-12-31,1491591000,2019,1667848375000,0.0008943205044043647
286,O,2018-12-31,1327838000,2018,1584911418000,0.0008377995040729778
287,O,2017-12-31,1215768000,2017,1456241666000,0.0008348669237980724
288,O,2016-12-31,1103172000,2016,1372156286000,0.0008039696434404557
289,O,2015-12-31,1023285000,2015,1304704129000,0.000784304255083721
290,O,2014-12-31,933505000,2014,1221769594000,0.000764059774105002
291,O,2013-12-31,778375000,2013,1171525917068,0.0006644112508821434
292,O,2012-12-31,475510000,2012,1120003482000,0.00042456118006961694
293,O,2011-12-31,421059000,2011,1046792430000,0.0004022373375397833
294,O,2010-12-31,345009000,2010,980998252000,0.0003516917581622765
295,O,2009-12-31,327581000,2009,951927858000,0.0003441237665722354
296,O,2008-12-31,330200000,2008,907379923893,0.0003639048994861141
297,O,2007-12-31,296513000,2007,853341811000,0.00034747271981496754
298,O,2006-12-31,240100000,2006,767562923000,0.00031280823083738244
299,O,2005-12-31,196676000,2005,122693850000,0.0016029817305431365
300,REG,2024-12-31,1453904000,2024,2479997933000,0.000586252101525441
301,REG,2023-12-31,1322466000,2023,2367952111000,0.0005584851120327408
302,REG,2022-12-31,1224022000,2022,2233563149000,0.0005480131602941306
303,REG,2021-12-31,1166161000,2021,2050036470000,0.0005688489044294904
304,REG,2020-12-31,1016175000,2020,1820831850000,0.0005580828345022633
305,REG,2019-12-31,1133138000,2019,1667848375000,0.0006794010876438333
306,REG,2018-12-31,1120975000,2018,1584911418000,0.000707279275844046
307,REG,2017-12-31,984326000,2017,1456241666000,0.0006759358854933355
308,REG,2016-12-31,614371000,2016,1372156286000,0.00044774127136127116
309,REG,2015-12-31,569763000,2015,1304704129000,0.00043669900886777986
310,REG,2014-12-31,537898000,2014,1221769594000,0.0004402614066036415
311,REG,2013-12-31,489007000,2013,1171525917068,0.00041741031322964416
312,REG,2012-12-31,496920000,2012,1120003482000,0.0004436771920678725
313,REG,2011-12-31,500417000,2011,1046792430000,0.0004780479736560571
314,REG,2010-12-31,486806000,2010,980998252000,0.000496235338857668
315,REG,2009-12-31,489232000,2009,951927858000,0.0005139381055911908
316,REG,2008-12-31,493420893,2008,907379923893,0.0005437864338931365
317,REG,2007-12-31,451508000,2007,853341811000,0.0005291056809590688
318,REG,2006-12-31,420338000,2006,767562923000,0.0005476267644053464
