Ticker,Fiscal Date,Revenue (USD)
TSCO,2019-12-31,8351931000
TSCO,2018-12-31,7911046000
TSCO,2017-12-31,7256382000
TSCO,2016-12-31,6779579000
TSCO,2015-12-31,6226507000
TSCO,2014-12-31,5711715000
TSCO,2013-12-31,5164784000
TSCO,2012-12-31,4664120000
TSCO,2011-12-31,4232743000
TSCO,2010-12-31,3638336000
TSCO,2009-12-31,3206937000
TSCO,2008-12-31,3007949000
TSCO,2007-12-31,2703212000
TSCO,2006-12-31,2369612000
TSCO,2005-12-31,2067979000
ULTA,2025-01-31,11295654000
ULTA,2024-01-31,11207303000
ULTA,2023-01-31,10208580000
ULTA,2022-01-31,8630889000
ULTA,2021-01-31,6151953000
ULTA,2020-01-31,7398068000
ULTA,2019-01-31,6716615000
ULTA,2018-01-31,5884506000
ULTA,2017-01-31,4854737000
ULTA,2016-01-31,3924116000
ULTA,2015-01-31,3241369000
ULTA,2014-01-31,2670573000
ULTA,2013-01-31,2220256000
ULTA,2012-01-31,1776151000
ULTA,2011-01-31,1454838000
ULTA,2010-01-31,1222771000
ULTA,2009-01-31,1084646000
ULTA,2008-01-31,912141000
ULTA,2007-01-31,755113000
ULTA,2006-01-31,579075000
WBA,2024-08-31,147658000000
WBA,2023-08-31,139081000000
WBA,2022-08-31,132703000000
WBA,2021-08-31,132509000000
WBA,2020-08-31,121982000000
WBA,2019-08-31,120074000000
WBA,2018-08-31,131537000000
WBA,2017-08-31,118214000000
WBA,2016-08-31,117351000000
WBA,2015-08-31,103444000000
WBA,2014-08-31,76392000000
WBA,2013-08-31,72217000000
WBA,2012-08-31,71633000000
WBA,2011-08-31,72184000000
WBA,2010-08-31,67420000000
WBA,2009-08-31,63335000000
WBA,2008-08-31,59034000000
WBA,2007-08-31,53762000000
WBA,2006-08-31,47409000000
WBA,2005-08-31,42201600000
WMT,2024-01-31,648125000000
WMT,2023-01-31,611289000000
WMT,2022-01-31,572754000000
WMT,2021-01-31,559151000000
WMT,2020-01-31,523964000000
WMT,2019-01-31,514405000000
WMT,2018-01-31,500343000000
WMT,2017-01-31,485873000000
WMT,2016-01-31,482130000000
WMT,2015-01-31,485651000000
WMT,2014-01-31,476294000000
WMT,2013-01-31,469162000000
WMT,2012-01-31,446950000000
WMT,2011-01-31,421849000000
WMT,2010-01-31,408214000000
WMT,2009-01-31,405607000000
WMT,2008-01-31,378799000000
WMT,2007-01-31,348650000000
WMT,2006-01-31,315654000000
WSM,2025-01-31,7711541000
WSM,2024-01-31,7750652000
WSM,2023-01-31,8674417000
WSM,2022-01-31,8245936000
WSM,2021-01-31,6783189000
WSM,2020-01-31,5898008000
WSM,2019-01-31,5671593000
WSM,2018-01-31,5292359000
WSM,2017-01-31,5083812000
WSM,2016-01-31,4976090000
WSM,2015-01-31,4698719000
WSM,2014-01-31,4387889000
WSM,2013-01-31,4042870000
WSM,2012-01-31,3720895000
WSM,2011-01-31,3504158000
WSM,2010-01-31,3102704000
WSM,2009-01-31,3361472000
WSM,2008-01-31,3944934000
WSM,2007-01-31,3727513000
WSM,2006-01-31,3538947000
